,2022/1/1,2022/12/31,,,,2022/4/26,2022/12/31,,
FNF,47.65,36.45,-23.50%,"7,650",,37.21,36.45,-2.04%,9796
BAC,46.18,33.51,-27.44%,"7,256",,36.45,33.51,-8.07%,9193
LYG,2.61,2.24,-14.18%,"8,582",,2.27,2.24,-1.32%,9868
CI,234.2,321.48,37.27%,"13,727",,252.6,321.48,27.27%,12727
BNTX,231.85,148.65,-35.89%,"6,411",,147.95,148.65,0.47%,10047
CVX,119.26,173.99,45.89%,"14,589",,156.53,173.99,11.15%,11115
XOM,63.54,106.51,67.63%,"16,763",,82.29,106.51,29.43%,12943
AMD,150.24,64.02,-57.39%,"4,261",,85.16,64.02,-24.82%,7518
QCOM,186.21,107.2,-42.43%,"5,757",,133.5,107.2,-19.70%,8030
F,21.77,11.68,-46.35%,"5,365",,14.71,11.68,-20.60%,7940
,,,-9.64%,"90,362",,,,-0.82%,99178
,,,,,,,,,
,2023/1/1,2023/12/31,,,,2023/1/1,2023/12/31,,
ASC,13.97,14.3,2.36%,"9,250",,13.97,14.3,2.36%,"10,152"
ENGIY,14.27,17.44,22.21%,"11,043",,14.27,17.44,22.21%,"12,121"
HDSN,9.77,13.9,42.27%,"12,856",,9.77,13.9,42.27%,"14,110"
JXN,34.63,50.43,45.63%,"13,159",,34.63,50.43,45.63%,"14,443"
MNSO,10.75,19.84,84.56%,"16,677",,10.75,19.84,84.56%,"18,304"
MOD,20.11,60.14,199.06%,"27,023",,20.11,60.14,199.06%,"29,660"
PDD,84.53,145.64,72.29%,"15,569",,84.53,145.64,72.29%,"17,088"
SMCI,8.39,28.55,240.29%,"30,749",,8.39,28.55,240.29%,"33,749"
VLO,120.04,130.66,8.85%,"9,836",,120.04,130.66,8.85%,"10,795"
VRNA,105,86,-18.10%,"7,401",,105,86,-18.10%,"8,123"
,,,69.94%,"153,562",,,,69.94%,"168,544"
,,,,,,,,,
,2024/1/1,2024/12/31,,,,2024/1/1,2024/12/31,,
APP,38.78,323.83,735.04%,"128,231",,38.78,323.83,735.04%,"140,742"
CLS,28.27,92.3,226.49%,"50,137",,28.27,92.3,226.49%,"55,029"
MOD,60.14,115.93,92.77%,"29,602",,60.14,115.93,92.77%,"32,490"
RYCEY,3.7,7.11,92.16%,"29,509",,3.7,7.11,92.16%,"32,388"
ANF,90.96,149.47,64.32%,"25,234",,90.96,149.47,64.32%,"27,696"
META,346.29,585.51,69.08%,"25,964",,346.29,585.51,69.08%,"28,498"
ISNPY,17.66,24.15,36.75%,"21,000",,17.66,24.15,36.75%,"23,048"
GCT,20.06,18.52,-7.68%,"14,177",,20.06,18.52,-7.68%,"15,561"
MHO,134,132.95,-0.78%,"15,236",,134,132.95,-0.78%,"16,722"
LPG,43.76,24.37,-44.31%,"8,552",,43.76,24.37,-44.31%,"9,386"
,,,126.39%,"347,642",,,,126.39%,"381,559"
,,,,,,,,,
,2025/1/1,2025/12/31,,,,2025/3/13,2025/12/31,,
CRDO,70.93,143.89,102.86%,"70,523",,44.95,143.89,220.11%,122141
INTA,64.63,45.82,-29.10%,"24,646",,58.2,45.82,-21.27%,30040
CLS,93.07,295.61,217.62%,"110,419",,86.41,295.61,242.10%,130532
DXPE,84.39,109.79,30.10%,"45,228",,80.37,109.79,36.61%,52123
AGX,143.32,313.32,118.62%,"76,000",,113.5,313.32,176.05%,105331
URBN,56.84,75.26,32.41%,"46,030",,49.87,75.26,50.91%,57582
LRN,106.34,64.93,-38.94%,"21,227",,118.39,64.93,-45.16%,20926
EAT,137.67,143.52,4.25%,"36,241",,134.32,143.52,6.85%,40769
PYPL,86.18,58.38,-32.26%,"23,550",,66.91,58.38,-12.75%,33292
OPFI,8.08,10.46,29.46%,"45,004",,8.88,10.46,17.79%,44945
,,,43.50%,"498,868",,,,67.13%,"637,681"
,,,,,,,,,
,2026/1/1,Current,,,,2026/1/1,Current,,
CLS,302.4,371.71,22.92%,"61,321",,302.4,371.71,22.92%,"78,384"
MU,315.42,864.01,173.92%,"136,652",,315.42,864.01,173.92%,"174,676"
AMD,223.47,466.38,108.70%,"104,113",,223.47,466.38,108.70%,"133,084"
CIEN,246.06,488.21,98.41%,"98,981",,246.06,488.21,98.41%,"126,523"
COHR,194.33,376.99,93.99%,"96,778",,194.33,376.99,93.99%,"123,707"
ALL,203.82,221.01,8.43%,"54,094",,203.82,221.01,8.43%,"69,146"
INCY,101.42,102.38,0.95%,"50,359",,101.42,102.38,0.95%,"64,372"
B,44.08,39.46,-10.48%,"44,658",,44.08,39.46,-10.48%,"57,085"
WLDN,106.66,97.21,-8.86%,"45,467",,106.66,97.21,-8.86%,"58,118"
ATI,119.2,177.47,48.88%,"74,274",,119.2,177.47,48.88%,"94,941"
,,,53.69%,"766,697",,,,53.69%,"980,035"